local_authority_name,count_date,all_motor_vehicles
Kirklees,13/10/2000,730
Kirklees,13/10/2000,835
Kirklees,13/10/2000,841
Kirklees,13/10/2000,899
Kirklees,13/10/2000,952
Kirklees,13/10/2000,937
Kirklees,13/10/2000,909
Kirklees,13/10/2000,737
Kirklees,13/10/2000,884
Kirklees,13/10/2000,685
Kirklees,13/10/2000,875
Kirklees,13/10/2000,761
Kirklees,13/10/2000,812
Kirklees,13/10/2000,940
Kirklees,13/10/2000,912
Kirklees,13/10/2000,1077
Kirklees,13/10/2000,1290
Kirklees,13/10/2000,1306
Kirklees,13/10/2000,917
Kirklees,13/10/2000,940
Kirklees,13/10/2000,1194
Kirklees,13/10/2000,1187
Kirklees,13/10/2000,901
Kirklees,13/10/2000,726
Kirklees,16/06/2000,690
Kirklees,16/06/2000,859
Kirklees,16/06/2000,463
Kirklees,16/06/2000,450
Kirklees,16/06/2000,463
Kirklees,16/06/2000,503
Kirklees,16/06/2000,492
Kirklees,16/06/2000,457
Kirklees,16/06/2000,696
Kirklees,16/06/2000,792
Kirklees,16/06/2000,857
Kirklees,16/06/2000,517
Kirklees,16/06/2000,580
Kirklees,16/06/2000,889
Kirklees,16/06/2000,495
Kirklees,16/06/2000,387
Kirklees,16/06/2000,454
Kirklees,16/06/2000,506
Kirklees,16/06/2000,487
Kirklees,16/06/2000,495
Kirklees,16/06/2000,683
Kirklees,16/06/2000,759
Kirklees,16/06/2000,819
Kirklees,16/06/2000,598
Kirklees,14/07/2000,1251
Kirklees,14/07/2000,1482
Kirklees,14/07/2000,1207
Kirklees,14/07/2000,1200
Kirklees,14/07/2000,1257
Kirklees,14/07/2000,1324
Kirklees,14/07/2000,1274
Kirklees,14/07/2000,1302
Kirklees,14/07/2000,1303
Kirklees,14/07/2000,1779
Kirklees,14/07/2000,1795
Kirklees,14/07/2000,1071
Kirklees,14/07/2000,592
Kirklees,14/07/2000,1070
Kirklees,14/07/2000,972
Kirklees,14/07/2000,861
Kirklees,14/07/2000,917
Kirklees,14/07/2000,1050
Kirklees,14/07/2000,1091
Kirklees,14/07/2000,1090
Kirklees,14/07/2000,1230
Kirklees,14/07/2000,1473
Kirklees,14/07/2000,1250
Kirklees,14/07/2000,906
Kirklees,17/05/2000,4310
Kirklees,17/05/2000,3691
Kirklees,17/05/2000,3671
Kirklees,17/05/2000,3347
Kirklees,17/05/2000,3094
Kirklees,17/05/2000,2857
Kirklees,17/05/2000,2735
Kirklees,17/05/2000,2112
Kirklees,17/05/2000,2156
Kirklees,17/05/2000,2321
Kirklees,17/05/2000,4233
Kirklees,17/05/2000,3586
Kirklees,17/05/2000,3700
Kirklees,17/05/2000,3621
Kirklees,17/05/2000,3606
Kirklees,17/05/2000,2541
Kirklees,17/05/2000,2746
Kirklees,17/05/2000,2462
Kirklees,17/05/2000,3225
Kirklees,17/05/2000,3484
Kirklees,17/05/2000,3853
Kirklees,17/05/2000,4051
Kirklees,17/05/2000,4135
Kirklees,17/05/2000,3732
Kirklees,16/05/2000,407
Kirklees,16/05/2000,510
Kirklees,16/05/2000,321
Kirklees,16/05/2000,337
Kirklees,16/05/2000,299
Kirklees,16/05/2000,312
Kirklees,16/05/2000,308
Kirklees,16/05/2000,322
Kirklees,16/05/2000,340
Kirklees,16/05/2000,322
Kirklees,16/05/2000,366
Kirklees,16/05/2000,287
Kirklees,16/05/2000,333
Kirklees,16/05/2000,348
Kirklees,16/05/2000,279
Kirklees,16/05/2000,286
Kirklees,16/05/2000,263
Kirklees,16/05/2000,293
Kirklees,16/05/2000,295
Kirklees,16/05/2000,336
Kirklees,16/05/2000,366
Kirklees,16/05/2000,402
Kirklees,16/05/2000,477
Kirklees,16/05/2000,373
Kirklees,13/04/2000,5129
Kirklees,13/04/2000,4881
Kirklees,13/04/2000,3794
Kirklees,13/04/2000,4409
Kirklees,13/04/2000,3877
Kirklees,13/04/2000,3882
Kirklees,13/04/2000,4191
Kirklees,13/04/2000,4514
Kirklees,13/04/2000,4524
Kirklees,13/04/2000,4305
Kirklees,13/04/2000,4621
Kirklees,13/04/2000,4236
Kirklees,13/04/2000,4707
Kirklees,13/04/2000,4548
Kirklees,13/04/2000,4480
Kirklees,13/04/2000,3653
Kirklees,13/04/2000,3700
Kirklees,13/04/2000,3908
Kirklees,13/04/2000,4076
Kirklees,13/04/2000,4270
Kirklees,13/04/2000,4425
Kirklees,13/04/2000,4953
Kirklees,13/04/2000,5231
Kirklees,13/04/2000,5009
Kirklees,06/04/2000,2535
Kirklees,06/04/2000,2826
Kirklees,06/04/2000,2166
Kirklees,06/04/2000,1727
Kirklees,06/04/2000,1516
Kirklees,06/04/2000,1575
Kirklees,06/04/2000,1730
Kirklees,06/04/2000,1623
Kirklees,06/04/2000,1760
Kirklees,06/04/2000,1704
Kirklees,06/04/2000,1959
Kirklees,06/04/2000,1798
Kirklees,06/04/2000,2244
Kirklees,06/04/2000,1955
Kirklees,06/04/2000,1721
Kirklees,06/04/2000,1665
Kirklees,06/04/2000,1748
Kirklees,06/04/2000,1830
Kirklees,06/04/2000,1796
Kirklees,06/04/2000,1983
Kirklees,06/04/2000,2243
Kirklees,06/04/2000,2831
Kirklees,06/04/2000,3211
Kirklees,06/04/2000,2220
Kirklees,06/10/2000,475
Kirklees,06/10/2000,546
Kirklees,06/10/2000,340
Kirklees,06/10/2000,304
